clip	arm	crf	frames	wall_s	fps	bytes	offset	ssimu2_mean	ssimu2_5pct	ssimu2_min
closeenc	aom_cu4	10	240	188	1.28	25903773	-1	81.094	76.909	74.178
closeenc	aom_cu4	18	240	78	3.08	8912367	-1	67.817	62.175	57.535
closeenc	aom_cu4	26	240	114	2.11	3568059	-1	60.218	50.747	45.906
closeenc	svt_p4	10	240	3	80.00	23078171	-1	80.355	78.296	77.447
closeenc	svt_p4	18	240	3	80.00	13859011	-1	74.388	72.427	71.639
closeenc	svt_p4	26	240	3	80.00	8222688	-1	68.390	66.193	65.630
closeenc	svt_p6	10	240	2	120.00	23555599	-1	80.436	77.225	76.771
closeenc	svt_p6	18	240	2	120.00	15062132	-1	75.069	72.010	71.169
closeenc	svt_p6	26	240	2	120.00	9401575	-1	69.443	66.203	65.553
topgun	aom_cu4	10	240	112	2.14	5565883	0	78.713	72.813	71.002
topgun	aom_cu4	18	240	83	2.89	2688985	0	74.188	65.864	62.731
topgun	aom_cu4	26	240	67	3.58	1744063	0	70.569	60.244	58.074
topgun	svt_p4	10	240	3	80.00	10058390	0	82.460	80.032	79.408
topgun	svt_p4	18	240	2	120.00	4569610	0	77.342	73.265	71.762
topgun	svt_p4	26	240	3	80.00	3050750	0	74.920	69.616	67.548
topgun	svt_p6	10	240	1	240.00	10710089	0	82.768	79.923	79.046
topgun	svt_p6	18	240	2	120.00	5545970	0	78.201	73.118	71.483
topgun	svt_p6	26	240	2	120.00	3435756	0	75.031	69.483	67.088
