clip	arm	crf	frames	wall_s	fps	bytes	offset	ssimu2_mean	ssimu2_5pct	ssimu2_min
closeenc	aom_cu4	18	1440	1244	1.16	102815191	-1	70.094	62.450	52.659
closeenc	aom_cu4	14	1440	1302	1.11	155210287	-1	76.562	70.371	60.813
closeenc	aom_cu4	10	1440	1466	0.98	225323920	-1	82.086	77.870	70.911
closeenc	aom_cu4	6	1440	1603	0.90	339860862	-1	87.953	85.547	82.463
closeenc	aom_cu4_tuned	14	1440	1473	0.98	212016299	-1	80.453	72.836	62.069
closeenc	svt_p4	6	1440	20	72.00	246970620	-1	83.581	81.548	80.898
closeenc	aom_cu4_tuned	10	1440	1722	0.84	307306005	-1	84.787	79.459	70.785
closeenc	svt_p4	10	1440	17	84.71	178284465	-1	79.675	77.360	76.432
closeenc	svt_p4	14	1440	16	90.00	143589893	-1	76.952	74.502	73.319
closeenc	aom_cu4_tuned	6	1440	1831	0.79	457745378	-1	89.044	87.584	83.572
closeenc	svt_p4	18	1440	18	80.00	116678059	-1	74.051	71.422	70.059
closeenc	svt_p6	10	1440	12	120.00	178337689	-1	79.748	76.653	75.662
closeenc	svt_p6	6	1440	13	110.77	253954502	-1	83.629	80.822	80.033
closeenc	svt_p6	14	1440	9	160.00	145375248	-1	77.125	73.811	72.665
closeenc	svt_p6	18	1440	10	144.00	122570268	-1	74.702	71.219	69.964
closeenc	aom_cu4_tuned	18	1440	1589	0.91	150503833	-1	76.795	68.473	55.841
